[yq47@e3c-254 C]$ pprof
Reading Profile files in profile.*

NODE 0;CONTEXT 0;THREAD 0:
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call
---------------------------------------------------------------------------------------
100.0        0.103        8,977           1           1    8977206 .TAU application
100.0        0.756        8,977           1           9    8977103 int main(int, char **) C
 96.9        6,178        8,702           1      200005    8702130 int common_run_server(int, int, enum transport_type, void *) C
 22.8        0.365        2,043           1          15    2043381 struct ds_gspace *dsg_alloc(int, int, char *, void *) C
 22.7        0.452        2,040           1          11    2040707 struct dart_server *ds_alloc(int, int, void *, void *) C
 22.7        0.284        2,039           1           5    2039179 int ds_boot(struct dart_server *) C
 22.7        2,012        2,037           1      100003    2037952 int ds_boot_master(struct dart_server *) C
  5.2           57          465      100001      100001          5 int dsg_process(struct ds_gspace *) C [THROTTLED]
  4.5           22          407      100001      100001          4 int ds_process(struct dart_server *) C [THROTTLED]
  4.3          242          385      100001      100001          4 int rpc_process_event_mt(struct rpc_server *) C [THROTTLED]
  2.8          252          252           1           1     252477 MPI_Init()
  1.6           21          142      100001       99997          1 int rpc_process_event_peer_mt(struct rpc_server *, struct node_id *) C [THROTTLED]
  1.3           39          120      100001      100001          1 int socket_recv_rpc_cmd(int, struct rpc_cmd *) C [THROTTLED]
  0.9           81           81      100001           0          1 int socket_recv_bytes(int, char *, uint64_t, int) C [THROTTLED]
  0.2           22           22      100001           0          0 int rpc_process_event(struct rpc_server *) C [THROTTLED]
  0.2           21           21           1           0      21675 MPI_Finalize()
  0.1           11           11      100001           0          0 int dsg_complete(struct ds_gspace *) C [THROTTLED]
  0.0        0.101            3           2           6       1964 int rpc_process_event_peer(struct rpc_server *, struct node_id *) C
  0.0            3            3           2           2       1907 int rpc_process_cmd(struct rpc_server *, struct rpc_cmd *) C
  0.0            1            2           1           3       2867 void dsg_free(struct ds_gspace *) C
  0.0            1            1           1           7       1483 int parse_conf(char *) C
  0.0            0            1           1           2       1287 void ls_free(struct ss_storage *) C
  0.0            1            1           1           0       1286 void obj_data_free(struct obj_data *) C
  0.0        0.898        0.898           1           0        898 int rpc_write_config(struct rpc_server *, const char *) C
  0.0        0.092        0.825           1           2        825 int init_sspace(struct bbox *, struct ds_gspace *) C
  0.0        0.057        0.733           1           1        733 struct sspace *ssd_alloc(const struct bbox *, int, int, enum sspace_hash_version) C
  0.0        0.153        0.676           1           3        676 struct sspace *ssd_alloc_v1(const struct bbox *, int, int) C
  0.0        0.177        0.639           1           2        639 struct rpc_server *rpc_server_init(const char *, int, void *, enum rpc_component) C
  0.0        0.167        0.476           1           4        476 int dht_construct_hash(struct dht *, struct sspace *) C
  0.0        0.132        0.331           1           5        331 int ds_register_cp(struct dart_server *) C
  0.0        0.282        0.282           1           0        282 struct sockaddr_in search_ip_address(const char *) C
  0.0        0.255        0.263           1           3        263 void ds_free(struct dart_server *) C
  0.0        0.198        0.246           1           4        246 void bbox_to_intv(const struct bbox *, uint64_t, int, struct intv **, int *) C
  0.0        0.043        0.192           2           2         96 int rpc_send(struct rpc_server *, struct node_id *, struct msg_buf *) C
  0.0         0.18         0.18           1           0        180 int rpc_server_init_socket(struct rpc_server *) C
  0.0        0.043        0.174           1           1        174 int free_sspace(struct ds_gspace *) C
  0.0        0.046        0.149           2           2         74 int peer_process_send_list(struct rpc_server *, struct node_id *) C
